stockNumber,availability,shape,weight,color,clarity,cutGrade,polish,symmetry,fluorescenceIntensity,fluorescenceColor,measurements,BGM,eyeClean,lab,reportNumber,rapLabReportID,treatment,rapNetPrice,rapNetDiscountPercent,cashPrice,cashPriceDiscountPercent,buyNowPricePerCt,buyNowRapPercent,depthPercent,tablePercent,girdleThin,girdleThick,girdlePercent,girdleCondition,culetSize,culetCondition,crownHeight,crownAngle,pavilionDepth,pavilionAngle,laserInscription,certComment,keyToSymbols,memberComment,starLength,shade,whiteInclusion,blackInclusion,openInclusion,milky,fancyColor,fancyColorIntensity,fancyColorOvertone,country,state,city,brand,sellerSpec,sarineID,reportFileName,report2FileName,websiteLink,images,videos,documents,tradeShow,reportIssueDate,reportType,labLocation,pairStockNumber,isMatchedPairSeparable,allowRapLinkFeed,parcelStones,tracrID,roughSource,mine
S1010,NA,Oval,3.24,D,VS2,G,G,VG,Medium,Yellow,5.56 x 4.91 x 3.87,Milky,Yes,HRD,RN10010,RL10010,Fracture Filled,3926.38,-53.19,2086.39,-23.19,13721.75,-16.46,58.63,57.61,Thick,Medium,1.16,Polished,Small,Chipped,17.34,33.08,43.95,41.99,LI1010,Sample certification comment,"Feather, Cloud",Sample member comment,52.99,Brown,No,No,Yes,No,Pink,Fancy,Brown,India,Gujarat,Surat,CG Diamond,Premium,SID1010,report_10.pdf,report2_10.pdf,https://diamondsite.com/diamond/10,img1.jpg;img2.jpg,vid1.mp4,"[{""file"": ""doc1.pdf"", ""type"": ""cert""}]",JCK Vegas,2024-12-01,Grading,Mumbai,S2010,False,False,Yes,TID3010,Botswana,Orapa
S1011,NA,Oval,4.55,G,VS1,G,G,VG,Medium,Yellow,5.52 x 5.39 x 4.84,Brown,Yes,IGI,RN10011,RL10011,None,3850.94,-58.24,9676.85,-47.0,3747.79,-21.61,63.48,63.06,Medium,Thick,0.88,Natural,None,Chipped,10.39,31.88,41.08,40.89,LI1011,Sample certification comment,"Feather, Cloud",Sample member comment,50.04,Grey,No,Yes,Yes,Yes,Pink,Faint,,India,Gujarat,Surat,CG Diamond,Premium,SID1011,report_11.pdf,report2_11.pdf,https://diamondsite.com/diamond/11,img1.jpg;img2.jpg,vid1.mp4,"[{""file"": ""doc1.pdf"", ""type"": ""cert""}]",JCK Vegas,2024-08-29,Grading,Mumbai,S2011,True,True,Yes,TID3011,Botswana,Orapa
S1012,G,Princess,4.71,E,VS2,VG,VG,EX,Faint,,5.91 x 5.95 x 3.62,Milky,No,GCAL,RN10012,RL10012,,14415.45,-23.48,6881.37,-67.42,11651.13,-25.41,64.63,56.39,Medium,Thick,1.88,Natural,Medium,Chipped,12.36,30.13,44.06,41.13,LI1012,Sample certification comment,"Feather, Cloud",Sample member comment,47.68,No shade,Yes,Yes,Yes,Yes,Pink,Faint,Orange,India,Gujarat,Surat,CG Diamond,Premium,SID1012,report_12.pdf,report2_12.pdf,https://diamondsite.com/diamond/12,img1.jpg;img2.jpg,vid1.mp4,"[{""file"": ""doc1.pdf"", ""type"": ""cert""}]",JCK Vegas,2025-01-23,Grading,Mumbai,S2012,False,True,Yes,TID3012,Botswana,Orapa
S1013,G,Round,2.95,E,VS2,EX,VG,EX,Medium,Yellow,7.82 x 7.77 x 3.26,Milky,Yes,GIA,RN10013,RL10013,None,8144.63,-22.5,4244.9,-66.1,3941.65,-7.22,62.25,58.86,Thick,Thick,1.14,Faceted,None,Chipped,15.46,31.48,42.95,41.4,LI1013,Sample certification comment,"Feather, Cloud",Sample member comment,50.25,No shade,Yes,No,Yes,No,Pink,Fancy,Orange,India,Gujarat,Surat,CG Diamond,Premium,SID1013,report_13.pdf,report2_13.pdf,https://diamondsite.com/diamond/13,img1.jpg;img2.jpg,vid1.mp4,"[{""file"": ""doc1.pdf"", ""type"": ""cert""}]",JCK Vegas,2024-08-24,Grading,Mumbai,S2013,True,True,No,TID3013,Botswana,Orapa
S1014,M,Round,3.16,G,VVS2,EX,VG,VG,Medium,Blue,7.02 x 7.25 x 4.53,Brown,No,GIA,RN10014,RL10014,,4516.1,-32.47,10305.05,-42.22,7908.35,-20.48,56.34,57.53,Thick,Thick,2.35,Natural,None,Abraded,10.43,30.79,42.32,40.12,LI1014,Sample certification comment,"Feather, Cloud",Sample member comment,46.85,No shade,Yes,No,No,Yes,Blue,Vivid,Brown,India,Gujarat,Surat,CG Diamond,Premium,SID1014,report_14.pdf,report2_14.pdf,https://diamondsite.com/diamond/14,img1.jpg;img2.jpg,vid1.mp4,"[{""file"": ""doc1.pdf"", ""type"": ""cert""}]",JCK Vegas,2025-01-17,Grading,Mumbai,S2014,False,False,No,TID3014,Botswana,Orapa
S1015,NA,Emerald,0.8,E,VVS2,G,G,G,Strong,Yellow,5.56 x 5.73 x 4.41,Brown,Yes,IGI,RN10015,RL10015,None,13570.26,-11.34,11083.59,-28.7,14056.53,-13.66,63.72,59.89,Thin,Thick,1.84,Faceted,Small,Abraded,14.79,34.71,43.8,41.9,LI1015,Sample certification comment,"Feather, Cloud",Sample member comment,48.08,No shade,No,No,Yes,Yes,Yellow,Faint,Brown,India,Gujarat,Surat,CG Diamond,Premium,SID1015,report_15.pdf,report2_15.pdf,https://diamondsite.com/diamond/15,img1.jpg;img2.jpg,vid1.mp4,"[{""file"": ""doc1.pdf"", ""type"": ""cert""}]",JCK Vegas,2025-06-03,Grading,Mumbai,S2015,False,True,No,TID3015,Botswana,Orapa
S1016,G,Princess,2.58,G,VVS1,G,VG,EX,Medium,,5.73 x 4.63 x 2.54,Green,Yes,GIA,RN10016,RL10016,,6684.8,-55.31,10389.08,-22.54,9328.13,-32.78,57.52,54.43,Thick,Thin,1.96,Faceted,Small,Pointed,16.13,30.4,41.89,41.61,LI1016,Sample certification comment,"Feather, Cloud",Sample member comment,45.26,No shade,Yes,No,No,No,Pink,Vivid,Orange,India,Gujarat,Surat,CG Diamond,Premium,SID1016,report_16.pdf,report2_16.pdf,https://diamondsite.com/diamond/16,img1.jpg;img2.jpg,vid1.mp4,"[{""file"": ""doc1.pdf"", ""type"": ""cert""}]",JCK Vegas,2024-09-09,Grading,Mumbai,S2016,False,True,No,TID3016,Botswana,Orapa
S1017,M,Round,4.2,H,VVS2,EX,G,G,None,,7.64 x 4.35 x 4.63,Brown,No,GCAL,RN10017,RL10017,,3462.04,-12.79,3097.05,-28.91,5152.11,-17.86,55.82,53.48,Thin,Thick,2.3,Polished,Small,Abraded,12.79,34.6,42.64,40.18,LI1017,Sample certification comment,"Feather, Cloud",Sample member comment,47.3,Brown,Yes,Yes,Yes,Yes,Pink,Fancy,Green,India,Gujarat,Surat,CG Diamond,Premium,SID1017,report_17.pdf,report2_17.pdf,https://diamondsite.com/diamond/17,img1.jpg;img2.jpg,vid1.mp4,"[{""file"": ""doc1.pdf"", ""type"": ""cert""}]",JCK Vegas,2025-03-14,Grading,Mumbai,S2017,False,False,Yes,TID3017,Botswana,Orapa
S1018,STPS,Emerald,2.61,E,VVS1,EX,G,EX,Faint,Yellow,7.45 x 6.65 x 4.58,Milky,No,GIA,RN10018,RL10018,,4893.66,-16.53,10545.56,-65.54,14927.77,-31.36,59.14,63.87,Thin,Thin,2.07,Natural,None,Abraded,17.24,34.02,44.87,40.57,LI1018,Sample certification comment,"Feather, Cloud",Sample member comment,58.57,Grey,No,Yes,No,No,,Fancy,Orange,India,Gujarat,Surat,CG Diamond,Premium,SID1018,report_18.pdf,report2_18.pdf,https://diamondsite.com/diamond/18,img1.jpg;img2.jpg,vid1.mp4,"[{""file"": ""doc1.pdf"", ""type"": ""cert""}]",JCK Vegas,2024-11-04,Grading,Mumbai,S2018,True,False,No,TID3018,Botswana,Orapa
S1019,NA,Round,2.73,E,VVS2,VG,G,G,Faint,,5.46 x 6.79 x 4.86,,Yes,GIA,RN10019,RL10019,,10591.01,-31.48,7927.28,-25.06,10963.75,-40.33,61.47,52.69,Medium,Thin,2.09,Polished,Small,Abraded,11.42,34.07,40.42,40.66,LI1019,Sample certification comment,"Feather, Cloud",Sample member comment,45.23,Brown,No,No,Yes,No,Blue,Fancy,Orange,India,Gujarat,Surat,CG Diamond,Premium,SID1019,report_19.pdf,report2_19.pdf,https://diamondsite.com/diamond/19,img1.jpg;img2.jpg,vid1.mp4,"[{""file"": ""doc1.pdf"", ""type"": ""cert""}]",JCK Vegas,2025-05-07,Grading,Mumbai,S2019,False,False,Yes,TID3019,Botswana,Orapa
S1020,STPS,Oval,0.88,G,VVS1,G,G,VG,None,Blue,7.77 x 5.49 x 3.87,Brown,Yes,IGI,RN10020,RL10020,,3528.48,-10.71,6435.86,-8.0,11309.66,-44.19,62.91,52.23,Thin,Thick,1.43,Polished,None,Chipped,18.06,35.49,42.55,41.94,LI1020,Sample certification comment,"Feather, Cloud",Sample member comment,59.72,Grey,Yes,No,Yes,No,Blue,Faint,Green,India,Gujarat,Surat,CG Diamond,Premium,SID1020,report_20.pdf,report2_20.pdf,https://diamondsite.com/diamond/20,img1.jpg;img2.jpg,vid1.mp4,"[{""file"": ""doc1.pdf"", ""type"": ""cert""}]",JCK Vegas,2025-02-14,Grading,Mumbai,S2020,True,True,No,TID3020,Botswana,Orapa
S1021,STPS,Princess,4.96,D,IF,G,EX,VG,Medium,Blue,5.8 x 5.15 x 4.04,Green,Yes,GCAL,RN10021,RL10021,None,2411.42,-53.54,2211.17,-55.53,1516.74,-15.76,60.93,52.8,Thin,Thick,1.53,Faceted,Small,Abraded,13.24,34.61,43.78,41.39,LI1021,Sample certification comment,"Feather, Cloud",Sample member comment,53.57,No shade,Yes,No,Yes,Yes,,Fancy,Orange,India,Gujarat,Surat,CG Diamond,Premium,SID1021,report_21.pdf,report2_21.pdf,https://diamondsite.com/diamond/21,img1.jpg;img2.jpg,vid1.mp4,"[{""file"": ""doc1.pdf"", ""type"": ""cert""}]",JCK Vegas,2024-08-21,Grading,Mumbai,S2021,False,True,No,TID3021,Botswana,Orapa
S1022,STPS,Oval,3.88,F,IF,G,VG,G,None,Yellow,7.34 x 6.06 x 4.82,Milky,Yes,IGI,RN10022,RL10022,None,5116.14,-50.41,9275.42,-10.74,4438.66,-39.09,55.92,56.16,Medium,Thin,1.56,Natural,Medium,Abraded,14.18,30.08,40.79,41.69,LI1022,Sample certification comment,"Feather, Cloud",Sample member comment,51.26,Brown,Yes,No,Yes,No,Yellow,Fancy,Green,India,Gujarat,Surat,CG Diamond,Premium,SID1022,report_22.pdf,report2_22.pdf,https://diamondsite.com/diamond/22,img1.jpg;img2.jpg,vid1.mp4,"[{""file"": ""doc1.pdf"", ""type"": ""cert""}]",JCK Vegas,2025-04-14,Grading,Mumbai,S2022,True,True,No,TID3022,Botswana,Orapa
S1023,M,Round,4.57,D,VVS1,VG,EX,G,Strong,Yellow,4.42 x 5.65 x 2.37,Green,No,GIA,RN10023,RL10023,Fracture Filled,12435.06,-57.22,10752.02,-7.35,7981.71,-39.4,57.28,54.21,Thin,Thick,1.66,Natural,None,Abraded,13.67,31.63,43.07,40.7,LI1023,Sample certification comment,"Feather, Cloud",Sample member comment,45.1,No shade,No,Yes,No,No,Blue,Fancy,,India,Gujarat,Surat,CG Diamond,Premium,SID1023,report_23.pdf,report2_23.pdf,https://diamondsite.com/diamond/23,img1.jpg;img2.jpg,vid1.mp4,"[{""file"": ""doc1.pdf"", ""type"": ""cert""}]",JCK Vegas,2025-01-02,Grading,Mumbai,S2023,True,False,No,TID3023,Botswana,Orapa
S1024,NA,Oval,3.82,H,IF,EX,G,VG,None,Yellow,7.09 x 5.44 x 2.2,Milky,Yes,HRD,RN10024,RL10024,Fracture Filled,2126.96,-59.39,6169.39,-37.35,9833.01,-22.61,56.68,60.14,Thick,Medium,1.17,Natural,None,Chipped,17.18,31.98,44.0,41.18,LI1024,Sample certification comment,"Feather, Cloud",Sample member comment,51.08,No shade,No,Yes,Yes,Yes,Yellow,Faint,Brown,India,Gujarat,Surat,CG Diamond,Premium,SID1024,report_24.pdf,report2_24.pdf,https://diamondsite.com/diamond/24,img1.jpg;img2.jpg,vid1.mp4,"[{""file"": ""doc1.pdf"", ""type"": ""cert""}]",JCK Vegas,2025-05-04,Grading,Mumbai,S2024,False,False,No,TID3024,Botswana,Orapa
S1025,NA,Round,2.18,F,VS2,G,G,VG,Strong,,6.1 x 5.36 x 4.21,,Yes,GIA,RN10025,RL10025,,8395.3,-17.42,4542.97,-60.41,8594.83,-38.74,63.09,55.4,Thick,Thick,1.75,Polished,Medium,Pointed,17.54,33.96,42.48,41.89,LI1025,Sample certification comment,"Feather, Cloud",Sample member comment,57.99,Brown,No,Yes,No,No,Blue,,,India,Gujarat,Surat,CG Diamond,Premium,SID1025,report_25.pdf,report2_25.pdf,https://diamondsite.com/diamond/25,img1.jpg;img2.jpg,vid1.mp4,"[{""file"": ""doc1.pdf"", ""type"": ""cert""}]",JCK Vegas,2024-11-16,Grading,Mumbai,S2025,False,True,Yes,TID3025,Botswana,Orapa
S1026,M,Oval,4.89,H,VVS2,VG,EX,EX,Strong,,4.52 x 7.35 x 3.7,,No,IGI,RN10026,RL10026,Fracture Filled,5720.35,-40.71,6085.41,-53.85,14224.52,-49.32,59.18,58.46,Thin,Thick,1.62,Faceted,None,Abraded,15.07,35.36,40.85,40.26,LI1026,Sample certification comment,"Feather, Cloud",Sample member comment,53.22,Brown,Yes,No,Yes,Yes,,Faint,Green,India,Gujarat,Surat,CG Diamond,Premium,SID1026,report_26.pdf,report2_26.pdf,https://diamondsite.com/diamond/26,img1.jpg;img2.jpg,vid1.mp4,"[{""file"": ""doc1.pdf"", ""type"": ""cert""}]",JCK Vegas,2025-06-07,Grading,Mumbai,S2026,True,True,No,TID3026,Botswana,Orapa
S1027,M,Oval,2.89,G,VS1,VG,VG,VG,Faint,,7.79 x 7.26 x 4.65,,Yes,GCAL,RN10027,RL10027,Fracture Filled,10441.36,-14.59,4236.38,-51.97,3850.69,-40.24,63.72,55.6,Thick,Thick,2.52,Polished,None,Chipped,14.57,30.86,40.73,40.24,LI1027,Sample certification comment,"Feather, Cloud",Sample member comment,48.82,Grey,Yes,Yes,Yes,No,Yellow,Faint,Brown,India,Gujarat,Surat,CG Diamond,Premium,SID1027,report_27.pdf,report2_27.pdf,https://diamondsite.com/diamond/27,img1.jpg;img2.jpg,vid1.mp4,"[{""file"": ""doc1.pdf"", ""type"": ""cert""}]",JCK Vegas,2025-03-31,Grading,Mumbai,S2027,True,False,No,TID3027,Botswana,Orapa
S1028,NA,Round,1.93,H,VS2,VG,EX,G,None,Yellow,5.6 x 7.7 x 4.51,,Yes,IGI,RN10028,RL10028,Fracture Filled,6167.0,-28.57,11474.37,-44.31,6612.7,-32.65,60.57,50.1,Thin,Medium,1.98,Polished,Medium,Chipped,15.33,33.77,44.94,41.5,LI1028,Sample certification comment,"Feather, Cloud",Sample member comment,55.13,Grey,Yes,No,Yes,Yes,Pink,Faint,Brown,India,Gujarat,Surat,CG Diamond,Premium,SID1028,report_28.pdf,report2_28.pdf,https://diamondsite.com/diamond/28,img1.jpg;img2.jpg,vid1.mp4,"[{""file"": ""doc1.pdf"", ""type"": ""cert""}]",JCK Vegas,2024-08-30,Grading,Mumbai,S2028,False,False,Yes,TID3028,Botswana,Orapa
S1029,G,Round,2.06,E,VVS2,VG,VG,VG,Faint,,6.01 x 6.59 x 4.9,Green,No,HRD,RN10029,RL10029,HPHT,7315.73,-30.25,12071.21,-33.52,11534.38,-20.46,57.3,54.69,Thin,Thin,2.52,Polished,Small,Chipped,18.38,30.43,40.33,40.09,LI1029,Sample certification comment,"Feather, Cloud",Sample member comment,48.86,Grey,No,Yes,Yes,No,,Fancy,,India,Gujarat,Surat,CG Diamond,Premium,SID1029,report_29.pdf,report2_29.pdf,https://diamondsite.com/diamond/29,img1.jpg;img2.jpg,vid1.mp4,"[{""file"": ""doc1.pdf"", ""type"": ""cert""}]",JCK Vegas,2025-03-02,Grading,Mumbai,S2029,False,True,Yes,TID3029,Botswana,Orapa
S1030,M,Emerald,0.34,H,VS2,VG,G,VG,None,Blue,6.53 x 5.96 x 2.77,,No,HRD,RN10030,RL10030,HPHT,12748.41,-11.13,9664.45,-16.3,5920.2,-24.48,57.72,57.05,Thick,Medium,1.89,Faceted,None,Abraded,10.63,32.84,44.18,40.58,LI1030,Sample certification comment,"Feather, Cloud",Sample member comment,56.12,Brown,No,No,No,No,Yellow,,Brown,India,Gujarat,Surat,CG Diamond,Premium,SID1030,report_30.pdf,report2_30.pdf,https://diamondsite.com/diamond/30,img1.jpg;img2.jpg,vid1.mp4,"[{""file"": ""doc1.pdf"", ""type"": ""cert""}]",JCK Vegas,2025-05-02,Grading,Mumbai,S2030,False,False,Yes,TID3030,Botswana,Orapa
S1031,NA,Emerald,0.75,E,VVS2,EX,VG,EX,Faint,Blue,7.06 x 6.33 x 3.84,,Yes,IGI,RN10031,RL10031,,13578.81,-36.04,5048.64,-47.03,9364.96,-37.69,61.7,54.83,Medium,Thin,2.52,Faceted,None,Chipped,19.04,34.87,41.29,40.54,LI1031,Sample certification comment,"Feather, Cloud",Sample member comment,45.76,Grey,No,Yes,No,No,Pink,Fancy,,India,Gujarat,Surat,CG Diamond,Premium,SID1031,report_31.pdf,report2_31.pdf,https://diamondsite.com/diamond/31,img1.jpg;img2.jpg,vid1.mp4,"[{""file"": ""doc1.pdf"", ""type"": ""cert""}]",JCK Vegas,2025-03-04,Grading,Mumbai,S2031,True,False,Yes,TID3031,Botswana,Orapa
S1032,M,Round,4.57,E,VS1,EX,G,EX,Faint,Yellow,7.08 x 5.53 x 2.44,Green,No,GCAL,RN10032,RL10032,None,8779.12,-39.23,9780.25,-17.25,5705.31,-17.53,63.5,62.09,Medium,Thick,0.61,Polished,Medium,Chipped,15.72,32.72,41.51,41.16,LI1032,Sample certification comment,"Feather, Cloud",Sample member comment,58.84,No shade,No,No,Yes,Yes,Yellow,,Brown,India,Gujarat,Surat,CG Diamond,Premium,SID1032,report_32.pdf,report2_32.pdf,https://diamondsite.com/diamond/32,img1.jpg;img2.jpg,vid1.mp4,"[{""file"": ""doc1.pdf"", ""type"": ""cert""}]",JCK Vegas,2024-11-15,Grading,Mumbai,S2032,False,False,Yes,TID3032,Botswana,Orapa
S1033,M,Princess,4.84,E,VVS2,EX,EX,EX,None,,7.25 x 4.47 x 2.14,Milky,Yes,GCAL,RN10033,RL10033,,14362.65,-48.64,10860.73,-16.65,6306.36,-19.1,56.75,60.79,Thick,Medium,1.59,Polished,Small,Abraded,14.08,31.49,40.73,40.23,LI1033,Sample certification comment,"Feather, Cloud",Sample member comment,55.78,Grey,Yes,No,Yes,No,Yellow,Fancy,Brown,India,Gujarat,Surat,CG Diamond,Premium,SID1033,report_33.pdf,report2_33.pdf,https://diamondsite.com/diamond/33,img1.jpg;img2.jpg,vid1.mp4,"[{""file"": ""doc1.pdf"", ""type"": ""cert""}]",JCK Vegas,2025-06-07,Grading,Mumbai,S2033,True,True,No,TID3033,Botswana,Orapa
